   1 |  Pre-Init  |0000000097| System ACPI Power State #0xaa | S0/G0: working | Asserted
   2 |  Pre-Init  |0000000124| System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   3 |  Pre-Init  |0000000127| System ACPI Power State #0xaa | S0/G0: working | Asserted
   4 |  Pre-Init  |0000000163| System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   5 |  Pre-Init  |0000000164| System ACPI Power State #0xaa | S0/G0: working | Asserted
   6 |  Pre-Init  |0000000218| System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   7 |  Pre-Init  |0000000222| System ACPI Power State #0xaa | S0/G0: working | Asserted
   8 | 01/01/2001 | 09:02:34 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   9 | 01/01/2001 | 09:02:37 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
   a | 01/01/2001 | 09:04:23 AM KST | OS Boot | C: boot completed | Asserted
   b | 01/01/2001 | 09:04:23 AM KST | OEM record dc | 000137 | 0017f89b5c00
   c | 01/01/2001 | 09:22:14 AM KST | OS Critical Stop | OS graceful shutdown | Asserted
   d | 01/01/2001 | 09:22:14 AM KST | OEM record dd | 000137 | 00ff00050000
   e |  Pre-Init  |0000000082| System ACPI Power State #0xaa | S0/G0: working | Asserted
   f | 04/16/2019 | 03:27:39 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  10 | 04/16/2019 | 03:27:43 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  11 | 04/16/2019 | 03:28:04 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  12 | 04/16/2019 | 03:28:09 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  13 | 04/16/2019 | 03:29:52 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  14 | 04/16/2019 | 03:30:03 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  15 | 04/16/2019 | 03:30:05 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  16 | 04/16/2019 | 03:30:10 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  17 |  Pre-Init  |0000000095| System ACPI Power State #0xaa | S0/G0: working | Asserted
  18 | 04/16/2019 | 03:58:31 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  19 | 04/16/2019 | 04:00:02 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  1a | 04/16/2019 | 04:00:05 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  1b | 04/16/2019 | 04:39:38 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  1c | 04/15/2019 | 08:43:42 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  1d | 04/15/2019 | 08:43:45 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  1e | 04/15/2019 | 08:51:35 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  1f | 04/15/2019 | 08:51:38 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  20 |  Pre-Init  |0000000102| System ACPI Power State #0xaa | S0/G0: working | Asserted
  21 | 04/15/2019 | 09:13:08 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  22 | 04/15/2019 | 09:24:12 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  23 | 04/15/2019 | 09:26:14 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  24 | 04/15/2019 | 09:26:18 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  25 | 04/15/2019 | 09:45:02 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  26 | 04/15/2019 | 09:47:13 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  27 | 04/15/2019 | 09:47:18 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  28 | 04/15/2019 | 09:48:10 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  29 | 04/15/2019 | 09:48:11 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  2a | 04/15/2019 | 02:03:33 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  2b | 04/15/2019 | 10:05:43 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  2c | 04/15/2019 | 10:05:46 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  2d | 04/15/2019 | 10:25:01 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  2e | 04/15/2019 | 11:18:27 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  2f | 04/15/2019 | 11:18:31 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  30 | 04/15/2019 | 11:23:04 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  31 | 04/15/2019 | 11:23:09 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  32 |  Pre-Init  |0000000102| System ACPI Power State #0xaa | S0/G0: working | Asserted
  33 | 04/15/2019 | 11:45:40 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  34 | 04/16/2019 | 01:33:44 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  35 | 04/16/2019 | 02:06:27 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  36 | 04/16/2019 | 02:08:41 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  37 | 04/16/2019 | 02:08:44 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  38 | 04/16/2019 | 02:43:42 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  39 |  Pre-Init  |0000000082| System ACPI Power State #0xaa | S0/G0: working | Asserted
  3a | 04/16/2019 | 05:31:26 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  3b | 04/16/2019 | 05:31:30 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
